Confounder,SMD_Pre,SMD_Post,Abs_SMD_Pre,Abs_SMD_Post,SMD_Improvement,Imbalanced_Pre,Balanced_Post,N_Control,N_Treated
state_South Carolina,-0.07321265303564203,-0.01642105623873668,0.07321265303564203,0.01642105623873668,0.056791596796905354,False,True,3185,972
state_Nevada,0.07218961260880263,0.02752090995138414,0.07218961260880263,0.02752090995138414,0.04466870265741849,False,True,3185,972
state_District of Columbia,0.07097165961022436,0.010617619919024362,0.07097165961022436,0.010617619919024362,0.0603540396912,False,True,3185,972
state_Ohio,-0.06581293630272472,0.0008842891533353995,0.06581293630272472,0.0008842891533353995,0.06492864714938933,False,True,3185,972
state_Tennessee,-0.06448794502804304,0.14521680893178884,0.06448794502804304,0.14521680893178884,-0.0807288639037458,False,False,3185,972
state_Georgia,-0.060467612251928704,-0.027724340994573427,0.060467612251928704,0.027724340994573427,0.03274327125735528,False,True,3185,972
state_Kentucky,-0.05627888813391877,0.010146741605713681,0.05627888813391877,0.010146741605713681,0.04613214652820509,False,True,3185,972
state_Missouri,-0.0532599633329998,0.01808044579199102,0.0532599633329998,0.01808044579199102,0.03517951754100879,False,True,3185,972
state_Louisiana,-0.044870075989900594,-0.030900313726555564,0.044870075989900594,0.030900313726555564,0.01396976226334503,False,True,3185,972
state_Montana,-0.04398623474031295,0.04634013422170816,0.04398623474031295,0.04634013422170816,-0.002353899481395208,False,True,3185,972
sat_composite_25_imputed,-0.042408308205429505,-0.015129955667076705,0.042408308205429505,0.015129955667076705,0.0272783525383528,False,True,3185,972
state_South Dakota,0.042336292307090205,-0.03894918060842543,0.042336292307090205,0.03894918060842543,0.003387111698664777,False,True,3185,972
state_Idaho,0.042336292307090205,0.1463041609316269,0.042336292307090205,0.1463041609316269,-0.10396786862453669,False,False,3185,972
is_pbi,0.03558744833430322,-0.0089775839761297,0.03558744833430322,0.0089775839761297,0.026609864358173516,False,True,3185,972
state_Mississippi,-0.03205467029480716,9.131414395106155e-05,0.03205467029480716,9.131414395106155e-05,0.0319633561508561,False,True,3185,972
state_New Hampshire,-0.031962493080664754,-0.01444290501120487,0.031962493080664754,0.01444290501120487,0.017519588069459885,False,True,3185,972
state_Indiana,-0.028086611688546623,-0.042875575171669025,0.028086611688546623,0.042875575171669025,-0.014788963483122402,False,True,3185,972
has_endowment,-0.025876062268176583,0.01162968477178194,0.025876062268176583,0.01162968477178194,0.014246377496394643,False,True,3185,972
state_Minnesota,-0.012113539314165827,-0.04273409078915998,0.012113539314165827,0.04273409078915998,-0.030620551474994158,False,True,3185,972
state_New Jersey,0.011032994818444693,0.031379211944363744,0.011032994818444693,0.031379211944363744,-0.020346217125919053,False,True,3185,972
state_Connecticut,-0.008513208953940294,-0.028488501385189696,0.008513208953940294,0.028488501385189696,-0.019975292431249403,False,True,3185,972
state_Arizona,-0.006339307843454455,-0.03711739362050807,0.006339307843454455,0.03711739362050807,-0.030778085777053613,False,True,3185,972
admit_rate_imputed,0.0060506577665809785,-0.038344721181497114,0.0060506577665809785,0.038344721181497114,-0.032294063414916134,False,True,3185,972
region_South,0.00583486916629953,0.05962179820045894,0.00583486916629953,0.05962179820045894,-0.05378692903415941,False,True,3185,972
state_Michigan,-0.0015600648171648194,-0.026863768198697454,0.0015600648171648194,0.026863768198697454,-0.025303703381532636,False,True,3185,972
state_Rhode Island,,-0.07592612850930187,,0.07592612850930187,,False,True,3185,972
state_Vermont,,-0.0946376456817496,,0.0946376456817496,,False,True,3185,972
